"","zipcode","air","noise","hazadous","rat"
"228","10178",NA,NA,NA,NA
"229","10121","0","1","1",NA
"230","10123",NA,NA,NA,NA
"231","10106",NA,NA,NA,"1"
"232","10158",NA,NA,NA,NA
"233","10041",NA,NA,NA,NA
"234","10120",NA,NA,NA,NA
"235","10278",NA,NA,NA,"4"
"236","10155",NA,NA,NA,NA
"237","10043",NA,NA,NA,NA
"238","10081",NA,NA,NA,NA
"239","10096",NA,NA,NA,NA
"240","10097",NA,NA,NA,NA
"241","10196",NA,NA,NA,NA
"242","10196",NA,NA,NA,NA
"243","10275",NA,NA,NA,NA
"244","10265",NA,NA,NA,NA
"245","10045",NA,NA,NA,NA
"246","10047",NA,NA,NA,NA
"247","10047",NA,NA,NA,NA
"248","10080",NA,NA,NA,NA
"249","10203",NA,NA,NA,NA
"250","10259",NA,NA,NA,NA
"251","10260",NA,NA,NA,NA
"252","10285",NA,NA,NA,NA
"253","10286",NA,NA,NA,NA
"254","10035","67","138","164","1891"
"255","11371",NA,NA,NA,NA
"256","11361","0","0","6","81"
"257","10036","32","58","52","1010"
"258","11414","0","0","5","23"
"259","10310","2","0","2","198"
"260","11693","2","34","2","3"
"261","11249","17","113","162","778"
"262","10162",NA,NA,NA,"17"
"263","10119",NA,NA,NA,"4"
